Exchange_Name,FIA_Region,Report_Year,Open_Interest,Volume,Ratio
ASX 24,Asia,1997,"1997,5000","1997,2320","1997,1"
ASX 24,Asia,1998,"1998,5000","1998,11412","1998,2"
ASX 24,Asia,1999,"1999,5000","1999,8203","1999,4"
ASX 24,Asia,2000,"2000,5000","2000,2318","2000,3"
ASX 24,Asia,2001,"2001,5000","2001,346","2001,5"
ASX 24,Asia,2002,"2002,5000","2002,1151","2002,6"
ASX 24,Asia,2003,"2003,5000","2003,12850","2003,7"
ASX 24,Asia,2004,"2004,5000","2004,13486","2004,8"
ASX 24,Asia,2005,"2005,5000","2005,19779","2005,9"
ASX 24,Asia,2006,"2006,5000","2006,48916","2006,10"
ASX 24,Asia,2007,"2007,5000","2007,127491","2007,1"
ASX 24,Asia,2008,"2008,5000","2008,99346","2008,2"
ASX 24,Asia,2009,"2009,5000","2009,120594","2009,4"
ASX 24,Asia,2010,"2010,5000","2010,181147","2010,3"
ASX 24,Asia,2011,"2011,5000","2011,204276","2011,5"
ASX 24,Asia,2012,"2012,5000","2012,151861","2012,6"
ASX 24,Asia,2013,"2013,451077","2013,137969","2013,7"
ASX 24,Asia,2014,"2014,578806","2014,207367","2014,8"
ASX 24,Asia,2015,"2015,675891","2015,199251","2015,9"
ASX 24,Asia,2016,"2016,457793","2016,143265","2016,10"
Bolsa de Mercadorias & Futuros,Latin America,2000,"2000,6000","2000,53963","2000,1"
Bolsa de Mercadorias & Futuros,Latin America,2001,"2001,6000","2001,67527","2001,2"
Bolsa de Mercadorias & Futuros,Latin America,2002,"2002,6000","2002,62896","2002,4"
Bolsa de Mercadorias & Futuros,Latin America,2003,"2003,6000","2003,101734","2003,3"
Bolsa de Mercadorias & Futuros,Latin America,2004,"2004,6000","2004,40553","2004,5"
Bolsa de Mercadorias & Futuros,Latin America,2005,"2005,6000","2005,25466","2005,6"
Bolsa de Mercadorias & Futuros,Latin America,2006,"2006,6000","2006,26426","2006,7"
Bolsa de Mercadorias & Futuros,Latin America,2007,"2007,6000","2007,3942","2007,8"
Bolsa de Mercadorias & Futuros,Latin America,2010,"2010,6000","2010,1305","2010,9"
Bolsa de Mercadorias & Futuros,Latin America,2011,"2011,6000","2011,9556","2011,10"
Bolsa de Mercadorias & Futuros,Latin America,2012,"2012,6000","2012,3094","2012,1"
Bolsa de Mercadorias & Futuros,Latin America,2013,"2013,1384","2013,3561","2013,2"
Bolsa de Mercadorias & Futuros,Latin America,2014,"2014,1111","2014,4038","2014,4"
Bolsa de Mercadorias & Futuros,Latin America,2015,"2015,1474","2015,7519","2015,3"
Bolsa de Mercadorias & Futuros,Latin America,2016,"2016,4778","2016,13744","2016,5"
Borsa Istanbul,Other,2011,"2011,7000","2011,32","2011,6"
Borsa Istanbul,Other,2012,"2012,58","2012,928","2012,7"
Borsa Istanbul,Other,2013,"2013,86","2013,152","2013,8"
Borsa Istanbul,Other,2014,"2014,9","2014,26","2014,9"
Borsa Istanbul,Other,2015,"2015,10009","2015,23647","2015,10"
Borsa Istanbul,Other,2016,"2016,64399","2016,191305","2016,1"
Borsa Italiana,Europe,2008,"2008,7865","2008,634","2008,2"
Borsa Italiana,Europe,2009,"2009,7865","2009,5188","2009,4"
Borsa Italiana,Europe,2010,"2010,7865","2010,5947","2010,3"
Borsa Italiana,Europe,2011,"2011,7865","2011,3575","2011,5"
Borsa Italiana,Europe,2012,"2012,7865","2012,1239219","2012,6"
Borsa Italiana,Europe,2013,"2013,27091","2013,9169","2013,7"
Borsa Italiana,Europe,2014,"2014,52638","2014,7544","2014,8"
Borsa Italiana,Europe,2015,"2015,12134","2015,2811","2015,9"
Borsa Italiana,Europe,2016,"2016,5907","2016,2315","2016,10"
Central Japan Commodity Exchange,Asia,2000,"2000,6000","2000,19762511","2000,1"
Central Japan Commodity Exchange,Asia,2001,"2001,6000","2001,26739073","2001,2"
Central Japan Commodity Exchange,Asia,2002,"2002,6000","2002,29550868","2002,4"
Central Japan Commodity Exchange,Asia,2003,"2003,6000","2003,30690378","2003,3"
Central Japan Commodity Exchange,Asia,2004,"2004,6000","2004,32381114","2004,5"
Central Japan Commodity Exchange,Asia,2005,"2005,6000","2005,21799959","2005,6"
Central Japan Commodity Exchange,Asia,2006,"2006,6000","2006,8989242","2006,7"
Central Japan Commodity Exchange,Asia,2007,"2007,6000","2007,6329426","2007,8"
Central Japan Commodity Exchange,Asia,2008,"2008,6000","2008,3185378","2008,9"
Central Japan Commodity Exchange,Asia,2009,"2009,6000","2009,1701600","2009,10"
Central Japan Commodity Exchange,Asia,2010,"2010,6000","2010,647010","2010,1"
Chicago Board of Trade,North America,1998,"1998,6000","1998,272","1998,2"
Chicago Board of Trade,North America,1999,"1999,6000","1999,22","1999,4"
Chicago Board of Trade,North America,2005,"2005,6000","2005,2676","2005,3"
Chicago Board of Trade,North America,2006,"2006,6000","2006,5666","2006,5"
Chicago Board of Trade,North America,2007,"2007,6000","2007,79293","2007,6"
Chicago Board of Trade,North America,2008,"2008,6000","2008,321330","2008,7"
Chicago Board of Trade,North America,2009,"2009,6000","2009,347122","2009,8"
Chicago Board of Trade,North America,2010,"2010,6000","2010,822808","2010,9"
Chicago Board of Trade,North America,2011,"2011,6000","2011,884625","2011,10"
Chicago Board of Trade,North America,2012,"2012,6000","2012,688056","2012,1"
Chicago Board of Trade,North America,2013,"2013,168725","2013,343170","2013,2"
Chicago Board of Trade,North America,2014,"2014,94644","2014,259317","2014,4"
Chicago Board of Trade,North America,2015,"2015,75693","2015,196990","2015,3"
Chicago Board of Trade,North America,2016,"2016,42506","2016,133716","2016,5"
Chicago Climate Futures Exchange,North America,2008,"2008,42506","2008,483438","2008,6"
Chicago Climate Futures Exchange,North America,2009,"2009,42506","2009,1372995","2009,7"
Chicago Climate Futures Exchange,North America,2010,"2010,42506","2010,441601","2010,8"
Chicago Climate Futures Exchange,North America,2011,"2011,42506","2011,84580","2011,9"
Chicago Climate Futures Exchange,North America,2012,"2012,42506","2012,21658","2012,10"
Chicago Mercantile Exchange,North America,2005,"2005,42506","2005,4","2005,1"
Dalian Commodity Exchange,Asia,2013,"2013,2896415","2013,149566187","2013,2"
Dalian Commodity Exchange,Asia,2014,"2014,3524896","2014,121293730","2014,4"
Dalian Commodity Exchange,Asia,2015,"2015,1806781","2015,31368889","2015,3"
Dalian Commodity Exchange,Asia,2016,"2016,2078694","2016,68851912","2016,5"
Dubai Gold & Commodities Exchange,Asia,2013,"2013,782","2013,19717","2013,6"
Dubai Gold & Commodities Exchange,Asia,2014,"2014,1023","2014,24317","2014,7"
Dubai Gold & Commodities Exchange,Asia,2015,"2015,2119","2015,53162","2015,8"
Dubai Gold & Commodities Exchange,Asia,2016,"2016,4496","2016,139319","2016,9"
Dubai Mercantile Exchange,Asia,2007,"2007,4496","2007,223174","2007,10"
Dubai Mercantile Exchange,Asia,2008,"2008,4496","2008,330379","2008,1"
Dubai Mercantile Exchange,Asia,2009,"2009,4496","2009,553888","2009,2"
Dubai Mercantile Exchange,Asia,2010,"2010,4496","2010,744727","2010,4"
Dubai Mercantile Exchange,Asia,2011,"2011,4496","2011,883359","2011,3"
Dubai Mercantile Exchange,Asia,2012,"2012,4496","2012,1176056","2012,5"
Dubai Mercantile Exchange,Asia,2013,"2013,226294","2013,1600918","2013,6"
Dubai Mercantile Exchange,Asia,2014,"2014,204648","2014,2119936","2014,7"
Dubai Mercantile Exchange,Asia,2015,"2015,239141","2015,1709888","2015,8"
Dubai Mercantile Exchange,Asia,2016,"2016,223497","2016,1512812","2016,9"
Eurex,Europe,2008,"2008,223497","2008,80084","2008,10"
Eurex,Europe,2009,"2009,223497","2009,23642","2009,1"
Eurex,Europe,2010,"2010,223497","2010,127197","2010,2"
Eurex,Europe,2011,"2011,223497","2011,81048","2011,4"
Eurex,Europe,2012,"2012,223497","2012,143391","2012,3"
Eurex,Europe,2013,"2013,710546","2013,91765","2013,5"
Eurex,Europe,2014,"2014,844787","2014,35651","2014,6"
ICE Futures Europe,Europe,2005,"2005,844787","2005,42055085","2005,7"
ICE Futures Europe,Europe,2006,"2006,844787","2006,92721050","2006,8"
ICE Futures Europe,Europe,2007,"2007,844787","2007,138470956","2007,9"
ICE Futures Europe,Europe,2008,"2008,844787","2008,152950133","2008,10"
ICE Futures Europe,Europe,2009,"2009,844787","2009,165693531","2009,1"
ICE Futures Europe,Europe,2010,"2010,844787","2010,217120773","2010,2"
ICE Futures Europe,Europe,2011,"2011,844787","2011,269003783","2011,4"
ICE Futures Europe,Europe,2012,"2012,844787","2012,282120115","2012,3"
ICE Futures Europe,Europe,2013,"2013,119816566","2013,320300499","2013,5"
ICE Futures Europe,Europe,2014,"2014,130857731","2014,321448349","2014,6"
ICE Futures Europe,Europe,2015,"2015,163438624","2015,375278040","2015,7"
ICE Futures Europe,Europe,2016,"2016,122252051","2016,312010578","2016,8"
ICE Futures Singapore,Asia,2015,"2015,11155","2015,167046","2015,9"
ICE Futures Singapore,Asia,2016,"2016,56852","2016,1128123","2016,10"
ICE Futures U.S.,North America,2012,"2012,56852","2012,84290883","2012,1"
ICE Futures U.S.,North America,2013,"2013,428741508","2013,324470071","2013,2"
ICE Futures U.S.,North America,2014,"2014,340237305","2014,247539822","2014,4"
ICE Futures U.S.,North America,2015,"2015,305847725","2015,235029551","2015,3"
ICE Futures U.S.,North America,2016,"2016,217043923","2016,164124662","2016,5"
International Petroleum Exchange,Europe,1994,"1994,8092","1994,14534403","1994,6"
International Petroleum Exchange,Europe,1995,"1995,8092","1995,14955371","1995,7"
International Petroleum Exchange,Europe,1996,"1996,8092","1996,15520910","1996,8"
International Petroleum Exchange,Europe,1997,"1997,8092","1997,14733342","1997,9"
International Petroleum Exchange,Europe,1998,"1998,8092","1998,19661558","1998,10"
International Petroleum Exchange,Europe,1999,"1999,8092","1999,23042833","1999,1"
International Petroleum Exchange,Europe,2000,"2000,8092","2000,25489438","2000,2"
International Petroleum Exchange,Europe,2001,"2001,8092","2001,26410664","2001,4"
International Petroleum Exchange,Europe,2002,"2002,8092","2002,30441264","2002,3"
International Petroleum Exchange,Europe,2003,"2003,8092","2003,33341244","2003,5"
International Petroleum Exchange,Europe,2004,"2004,8092","2004,35540783","2004,6"
JSE Securities Exchange,Other,2009,"2009,8092","2009,742","2009,7"
JSE Securities Exchange,Other,2010,"2010,8092","2010,3002","2010,8"
JSE Securities Exchange,Other,2011,"2011,8092","2011,25615","2011,9"
JSE Securities Exchange,Other,2012,"2012,8092","2012,33077","2012,10"
JSE Securities Exchange,Other,2013,"2013,8092","2013,18588","2013,1"
JSE Securities Exchange,Other,2014,"2014,20272","2014,20754","2014,2"
JSE Securities Exchange,Other,2015,"2015,59032","2015,104060","2015,4"
JSE Securities Exchange,Other,2016,"2016,46704","2016,110333","2016,3"
Kansas City Board of Trade,North America,1995,"1995,46704","1995,80141","1995,5"
Kansas City Board of Trade,North America,1996,"1996,46704","1996,91556","1996,6"
Kansas City Board of Trade,North America,1997,"1997,46704","1997,86963","1997,7"
Kansas City Board of Trade,North America,1998,"1998,46704","1998,77405","1998,8"
Kansas City Board of Trade,North America,1999,"1999,46704","1999,18385","1999,9"
Kansas City Board of Trade,North America,2000,"2000,46704","2000,1","2000,10"
Minneapolis Grain Exchange,North America,1998,"1998,46704","1998,54","1998,1"
Minneapolis Grain Exchange,North America,1999,"1999,46704","1999,250","1999,2"
Minneapolis Grain Exchange,North America,2000,"2000,46704","2000,205","2000,4"
Montreal Exchange,North America,2010,"2010,46704","2010,4","2010,3"
Montreal Exchange,North America,2014,"2014,46704","2014,4","2014,5"
Moscow Exchange,Europe,2007,"2007,46704","2007,362252","2007,6"
Moscow Exchange,Europe,2008,"2008,46704","2008,856705","2008,7"
Moscow Exchange,Europe,2009,"2009,46704","2009,7499735","2009,8"
Moscow Exchange,Europe,2010,"2010,46704","2010,11540673","2010,9"
Moscow Exchange,Europe,2011,"2011,46704","2011,19754755","2011,10"
Moscow Exchange,Europe,2012,"2012,46704","2012,12222538","2012,1"
Moscow Exchange,Europe,2013,"2013,361499","2013,18208714","2013,2"
Moscow Exchange,Europe,2014,"2014,334640","2014,7131944","2014,4"
Moscow Exchange,Europe,2015,"2015,2953632","2015,111543331","2015,3"
Moscow Exchange,Europe,2016,"2016,7812204","2016,302753771","2016,5"
Multi Commodity Exchange of India,Asia,2005,"2005,5000","2005,5217833","2005,6"
Multi Commodity Exchange of India,Asia,2006,"2006,5000","2006,6584572","2006,7"
